Date/Time,OA_DB,Site Horizontal Infrared Radiation Rate per Area,Site Diffuse Solar Radiation Rate per Area,Site Direct Solar Radiation Rate per Area,Electric Equipment Electricity Rate,People Occupant Count,Site Outdoor Air Wetbulb Temperature,Site Outdoor Air Humidity Ratio
 01/01  01:00:00,-12.2,228.875,0,0,0,0,-12.96451141,0.000975495
 01/01  02:00:00,-11.7,223.625,0,0,0,0,-12.49112128,0.001019502
 01/01  03:00:00,-11.1,228.875,0,0,0,0,-11.92518254,0.00107708
 01/01  04:00:00,-11.1,230,0,0,0,0,-11.92518254,0.00107708
 01/01  05:00:00,-10.6,231.25,0,0,0,0,-11.45373887,0.001126383
 01/01  06:00:00,-10.6,232,0,0,0,0,-11.45373887,0.001126383
 01/01  07:00:00,-10.6,232,0,0,0,0,-11.32623477,0.001188221
 01/01  08:00:00,-10,227,14.4375,86.8125,0,0,-10.75598794,0.001253515
 01/01  09:00:00,-8.9,213.375,49.1875,409.1875,0,0,-9.926961618,0.001273929
 01/01  10:00:00,-6.7,211.375,71.1875,594.0625,0,0,-8.336226721,0.001304589
 01/01  11:00:00,-5,218.375,91.4375,650.375,0,0,-6.674293981,0.001587848
 01/01  12:00:00,-3.3,230.375,144.5,462.0625,0,0,-5.146058508,0.001837067
 01/01  13:00:00,-2.2,248.5,165.1875,155.9375,0,0,-4.161813718,0.002017619
 01/01  14:00:00,-1.1,262.875,148.6875,67.375,0,0,-3.295830612,0.002141599
 01/01  15:00:00,-1.1,267,87.875,79.875,0,0,-3.121287892,0.002247304
 01/01  16:00:00,-1.1,272.625,39,32.8125,0,0,-2.832505235,0.002423559
 01/01  17:00:00,-1.1,276,3.625,2.25,0,0,-2.832505235,0.002423559
 01/01  18:00:00,-1.7,274.125,0,0,0,0,-3.212762402,0.002405709
 01/01  19:00:00,-2.2,271.75,0,0,0,0,-3.512239542,0.002403412
 01/01  20:00:00,-1.1,274.125,0,0,0,0,-2.660502113,0.002529359
 01/01  21:00:00,-1.7,275.375,0,0,0,0,-2.883048127,0.002609667
 01/01  22:00:00,-1.1,276.25,0,0,0,0,-2.490251811,0.002637866
 01/01  23:00:00,-1.7,262.625,0,0,0,0,-2.883746944,0.002612314
 01/01  24:00:00,-1.7,249.625,0,0,0,0,-3.214567998,0.002410588
 01/02  01:00:00,-3.9,240.75,0,0,0,0,-4.613605508,0.002365074
 01/02  02:00:00,-2.8,240.75,0,0,0,0,-3.917046261,0.002381569
 01/02  03:00:00,-3.3,240.5,0,0,0,0,-4.387912119,0.002285303
 01/02  04:00:00,-2.8,245.25,0,0,0,0,-3.917727012,0.002383987
 01/02  05:00:00,-1.1,257.75,0,0,0,0,-2.663247398,0.002537063
 01/02  06:00:00,-1.1,263,0,0,0,0,-2.663247398,0.002537063
 01/02  07:00:00,-0.6,272.375,0,0,0,0,-2.379415421,0.002531625
 01/02  08:00:00,-0.6,278,12.9375,0.9375,224,2.3333345,-2.380452101,0.002534196
 01/02  09:00:00,0,280.5,57.125,3.9375,224,8.458338,-1.83380276,0.002660692
 01/02  10:00:00,0.6,283.25,119.25,1.25,0,1.45833345,-1.439083977,0.002698808
 01/02  11:00:00,1.7,287.125,140.375,1.1875,224,2.625,-0.829993076,0.002705898
 01/02  12:00:00,1.7,289,175,2.125,0,0.875,-0.698154979,0.002796417
 01/02  13:00:00,1.7,289.625,180.875,2.375,224,10.5,-0.501842181,0.002934083
 01/02  14:00:00,0,287.5,158.9375,0.1875,0,8.166669,-0.463584633,0.003570792
 01/02  15:00:00,-0.6,284.125,112,0,0,0,-0.824438643,0.003549515
 01/02  16:00:00,0.6,286.125,50,0,0,0,-0.089315705,0.003615813
 01/02  17:00:00,0.6,288.625,5.25,0,0,0,0.130151419,0.003738426
 01/02  18:00:00,-0.6,285.875,0,0,0,0,-0.600001062,0.003702075
 01/02  19:00:00,0.6,287.125,0,0,0,0,0.129586638,0.003746094
 01/02  20:00:00,1.1,290.25,0,0,0,0,0.436770694,0.003757107
 01/02  21:00:00,1.7,292.875,0,0,0,0,1.018015176,0.003931648
 01/02  22:00:00,2.2,295.875,0,0,0,0,1.502918878,0.004075672
 01/02  23:00:00,0,290.125,0,0,0,0,-0.231734258,0.003753811
 01/02  24:00:00,0,286,0,0,0,0,-0.231734258,0.003753811
 01/03  01:00:00,0,286,0,0,0,0,-0.231608409,0.003749953
 01/03  02:00:00,0,286,0,0,0,0,-0.231356409,0.003742262
 01/03  03:00:00,0.6,287.875,0,0,0,0,0.130151419,0.003738426
 01/03  04:00:00,0,286.5,0,0,0,0,-0.639726427,0.003457236
 01/03  05:00:00,-1.1,281.25,0,0,0,0,-1.928839535,0.003006515
 01/03  06:00:00,-2.2,275.25,0,0,0,0,-2.98261034,0.002736354
 01/03  07:00:00,-3.3,269.875,0,0,224,5.833338,-4.03735237,0.00248869
 01/03  08:00:00,-3.3,268,26.4375,0.1875,224,5.833338,-4.036902601,0.002486168
 01/03  09:00:00,-4.4,264.875,93.125,0.75,224,2.041669,-4.953410191,0.002341927
 01/03  10:00:00,-4.4,263,169.875,0.0625,0,1.7500035,-4.952714787,0.002337197
 01/03  11:00:00,-3.9,264.25,212.5,0.1875,0,0,-4.611832766,0.00235552
 01/03  12:00:00,-3.3,266.875,217.25,0.9375,0,0,-4.035554841,0.002478635
 01/03  13:00:00,-2.8,269.25,213.6875,1,224,3.5,-3.760085491,0.002463539
 01/03  14:00:00,-2.8,270,196.4375,1,0,3.5,-3.759503146,0.002461054
 01/03  15:00:00,-2.8,270,138.375,1,0,0,-3.759503146,0.002461054
 01/03  16:00:00,-2.8,270,69.625,0.8125,0,0,-3.759503146,0.002461054
 01/03  17:00:00,-2.8,270,7.4375,0.0625,0,0,-3.554651523,0.002580488
 01/03  18:00:00,-2.8,270,0,0,0,0,-3.758923702,0.002458573
 01/03  19:00:00,-2.8,270,0,0,0,0,-3.758923702,0.002458573
 01/03  20:00:00,-2.8,270,0,0,0,0,-3.554197441,0.002577889
 01/03  21:00:00,-2.8,270.625,0,0,0,0,-3.351661384,0.00270245
 01/03  22:00:00,-2.8,271,0,0,0,0,-3.351661384,0.00270245
 01/03  23:00:00,-2.8,271,0,0,0,0,-3.351989338,0.002705178
 01/03  24:00:00,-2.8,270.375,0,0,0,0,-3.555105587,0.002583092
 01/04  01:00:00,-2.8,270,0,0,0,0,-3.555559611,0.002585701
 01/04  02:00:00,-2.8,270,0,0,0,0,-3.556013686,0.002588316
 01/04  03:00:00,-2.8,270,0,0,0,0,-3.556013686,0.002588316
 01/04  04:00:00,-3.3,268.75,0,0,0,0,-3.887819103,0.002571673
 01/04  05:00:00,-3.3,268,0,0,0,0,-3.887819103,0.002571673
 01/04  06:00:00,-3.3,268,0,0,0,0,-3.888534486,0.00257689
 01/04  07:00:00,-2.8,269.875,0,0,112,1.75,-3.201928938,0.002813818
 01/04  08:00:00,-2.8,271,25.125,0,0,5.25,-3.201928938,0.002813818
 01/04  09:00:00,-2.2,272.875,82.9375,0.1875,0,0,-2.771982648,0.002865717
 01/04  10:00:00,-1.7,275.25,135.125,0.9375,0,0,-2.503552153,0.002856521
 01/04  11:00:00,-1.7,276,181.25,1,0,0,-2.287881135,0.002997696
 01/04  12:00:00,-1.1,277.875,191.8125,0.8125,224,5.25,-1.706252519,0.003155147
 01/04  13:00:00,-0.6,280.25,186.75,0.25,224,9.9166655,-1.451627926,0.003147175
 01/04  14:00:00,-0.6,281,153.5,0.75,0,6.1249965,-1.451627926,0.003147175
 01/04  15:00:00,-1.1,280.375,118.6875,0.0625,0,0,-1.540182087,0.003268736
 01/04  16:00:00,-1.1,279.375,56.5,0,0,0,-1.706598237,0.003158373
 01/04  17:00:00,-2.8,273.375,6.4375,0,0,0,-3.560590654,0.002614757
 01/04  18:00:00,-3.9,266.875,0,0,0,0,-4.615834157,0.002377125
 01/04  19:00:00,-5,261.25,0,0,0,0,-5.672657002,0.002161705
 01/04  20:00:00,-5,259,0,0,0,0,-5.672224399,0.002159507
 01/04  21:00:00,-4.4,260.875,0,0,0,0,-5.094942474,0.002270989
 01/04  22:00:00,-5,260.75,0,0,0,0,-5.536042229,0.002231461
 01/04  23:00:00,-6.1,242.5,0,0,0,0,-7.026340943,0.001794804
 01/04  24:00:00,-7.2,221.375,0,0,0,0,-8.106674125,0.001610423
 01/05  01:00:00,-7.2,227.5,0,0,0,0,-8.225821894,0.001545959
 01/05  02:00:00,-6.7,236.875,0,0,0,0,-7.593008802,0.00170218
 01/05  03:00:00,-7.2,234.25,0,0,0,0,-8.105433478,0.001607171
 01/05  04:00:00,-8.9,223.875,0,0,0,0,-9.570913542,0.00145671
 01/05  05:00:00,-12.2,204.625,0,0,0,0,-12.76558334,0.001070274
 01/05  06:00:00,-14.4,190.375,0,0,0,0,-14.88271393,0.000875695
 01/05  07:00:00,-15,185.125,0,0,224,2.0416655,-15.62410452,0.000755987
 01/05  08:00:00,-13.9,192.75,21,108.9375,0,6.1249965,-14.22496751,0.000997175
 01/05  09:00:00,-13.9,196.75,48.5625,451.6875,0,0,-14.22496751,0.000997175
 01/05  10:00:00,-11.7,196.625,57.0625,718.25,0,0,-12.49231877,0.001021557
 01/05  11:00:00,-9.4,202,64.4375,829,0,0,-10.53543269,0.001153549
 01/05  12:00:00,-7.8,208.125,68.6875,857.0625,224,9.6250035,-9.138079295,0.001290866
 01/05  13:00:00,-6.7,213.125,69.9375,833.875,224,6.416669,-8.134705432,0.00142359
 01/05  14:00:00,-5.6,220,76.3125,705,0,3.2083345,-7.222559524,0.001517282
 01/05  15:00:00,-3.9,229.25,80.75,499.125,224,0.2916655,-5.841289221,0.001672681
 01/05  16:00:00,-3.3,236.75,48.25,186.75,44.8,1.5749965,-5.411550987,0.001701178
 01/05  17:00:00,-4.4,234.625,5.625,23.3125,0,0.7,-5.9969866,0.001763708
 01/05  18:00:00,-5,228.875,0,0,0,0,-6.450028617,0.001726407
