Date/Time,Fan_power,Pump_power,Pump_Mass_FR,Air_Out_Temp,Air_Out_Flowrate,Air_Out_HR,ZMAT,ZMA_HR,Evaporater_ClgRt,chiller_power,DeltaT,SensibleHeat,OA_DB,OA_WB,OA_HR
 07/01  01:00:00,0,0,0,19.65755691,0,0.011359138,19.46384944,0.011124208,0,0,-0.193707476,0,17,15.61790176,0.010765065
 07/01  02:00:00,0,0,0,19.35750791,0,0.011019165,19.30880601,0.010924833,0,0,-0.048701896,0,16.7,15.32893697,0.010569402
 07/01  03:00:00,0,0,0,17.85313031,0,0.010659332,18.12090199,0.010718477,0,0,0.267771677,0,16.4,15.03997848,0.010376893
 07/01  04:00:00,0,0,0,16.67235319,0,0.010650192,16.94053889,0.010672504,0,0,0.2681857,0,16.1,15.0685746,0.010533901
 07/01  05:00:00,0,0,0,15.817252,0,0.010622304,16.04049365,0.010633289,0,0,0.223241649,0,16.1,15.06895827,0.01052308
 07/01  06:00:00,0,0,0,15.81994795,0,0.010609503,15.78390414,0.010745693,0,0,-0.036043814,0,16.1,15.38204393,0.010891179
 07/01  07:00:00,0,0,0,14.79469459,0,0.010756706,14.89685982,0.010715471,0,0,0.102165225,0,16.1,15.38230739,0.010879985
 07/01  08:00:00,0,0,0,14.61183348,0,0.010628321,15.15318774,0.010945252,0,0,0.54135426,0,16.7,15.97019449,0.011311583
 07/01  09:00:00,0,0,0,15.15318774,0,0.010945252,15.06059243,0.010945874,0,0,-0.092595314,0,17.2,16.13682765,0.0112992
 07/01  10:00:00,0,0,0,16.41156773,0,0.011172645,16.17077079,0.011126463,0,0,-0.240796945,0,17.8,16.38615684,0.011356908
 07/01  11:00:00,0,0,0,16.47072751,0,0.011258751,16.62174268,0.011358644,0,0,0.151015162,0,18.3,16.86700639,0.011726524
 07/01  12:00:00,0,0,0,16.32020014,0,0.011573348,16.18546408,0.01159733,0,0,-0.134736062,0,18.3,16.86700639,0.011726524
 07/01  13:00:00,0,0,0,16.05072802,0,0.011621312,16.27702254,0.011699193,0,0,0.226294522,0,18.9,17.09608454,0.01176832
 07/01  14:00:00,0,0,0,17.14307078,0,0.01170203,17.05253886,0.011700364,0,0,-0.09053192,0,17.8,16.71820294,0.0117802
 07/01  15:00:00,0,0,0,17.27217524,0,0.011710285,16.97896884,0.011705187,0,0,-0.293206397,0,17.8,16.71820294,0.0117802
 07/01  16:00:00,0,0,0,16.97896884,0,0.011705187,16.73200789,0.011565081,0,0,-0.246960951,0,16.1,15.79435198,0.011391636
 07/01  17:00:00,0,0,0,16.73200789,0,0.011565081,16.80703061,0.011437004,0,0,0.07502272,0,15.6,15.59999487,0.01137392
 07/01  18:00:00,0,0,0,16.80703061,0,0.011437004,16.70373696,0.011536757,0,0,-0.103293658,0,16.1,16.09999084,0.011750611
 07/01  19:00:00,0,0,0,16.70373696,0,0.011536757,16.66972698,0.011665395,0,0,-0.034009978,0,16.1,16.09999084,0.011750611
 07/01  20:00:00,0,0,0,16.66972698,0,0.011665395,16.48006859,0.011724521,0,0,-0.189658387,0,16.1,16.09999084,0.011750611
 07/01  21:00:00,0,0,0,17.28719528,0,0.011717307,17.2149486,0.011716606,0,0,-0.072246671,0,16.1,16.09999084,0.011738493
 07/01  22:00:00,0,0,0,17.43186723,0,0.01171791,17.01991513,0.011544815,0,0,-0.411952105,0,17.2,16.13605663,0.011322489
 07/01  23:00:00,0,0,0,18.03681257,0,0.011459438,17.93787675,0.011466537,0,0,-0.098935822,0,17.2,16.13605663,0.011322489
 07/01  24:00:00,0,0,0,18.17825353,0,0.011413624,17.92068058,0.011407785,0,0,-0.257572951,0,17.2,16.1356722,0.01133417
 07/02  01:00:00,0,0,0,17.92068058,0,0.011407785,17.92461072,0.011368431,0,0,0.003930143,0,17.2,16.13605663,0.011322489
 07/02  02:00:00,0,0,0,17.92461072,0,0.011368431,17.76110819,0.011502713,0,0,-0.163502536,0,17.2,16.45959523,0.011707009
 07/02  03:00:00,0,0,0,17.76110819,0,0.011502713,18.05475585,0.0114767,0,0,0.293647668,0,17.2,16.13605663,0.011322489
 07/02  04:00:00,0,0,0,18.05475585,0,0.0114767,18.03172784,0.01139315,0,0,-0.023028016,0,17.2,16.13605663,0.011322489
 07/02  05:00:00,0,0,0,18.03172784,0,0.01139315,17.91142051,0.011338593,0,0,-0.120307324,0,17.2,16.13644637,0.011310832
 07/02  06:00:00,0,0,0,19.50121894,0,0.011357228,19.21460786,0.011354934,0,0,-0.286611077,0,17.8,16.38615684,0.011356908
 07/02  07:00:00,0,0,0,19.535245,0,0.011360056,19.4146446,0.011364528,0,0,-0.120600395,0,17.8,16.38666404,0.011345227
 07/02  08:00:00,0,0,0,19.4146446,0,0.011364528,19.45612875,0.011179109,0,0,0.041484152,0,18.3,16.18015241,0.010892414
 07/02  09:00:00,0,0,0,19.45612875,0,0.011179109,19.58701025,0.011029703,0,0,0.130881497,0,19.4,16.61301975,0.010937091
 07/02  10:00:00,0,0,0,20.41331453,0,0.010862082,20.32536568,0.010871891,0,0,-0.087948855,0,20,16.53942631,0.010599704
 07/02  11:00:00,0,0,0,21.26182438,0,0.010897563,21.08437674,0.010896312,0,0,-0.177447642,0,21.1,17.14151909,0.010869166
 07/02  12:00:00,0,0,0,21.88672723,0,0.010971815,21.74256294,0.010951158,0,0,-0.14416429,0,22.8,17.81554706,0.010995573
 07/02  13:00:00,0,0,0,22.59898953,0,0.010995617,22.4752946,0.01099321,0,0,-0.123694931,0,23.9,18.1759157,0.010992389
 07/02  14:00:00,0,0,0,22.41801319,0,0.011164249,22.40448081,0.011156198,0,0,-0.01353238,0,23.9,18.47830398,0.011378371
 07/02  15:00:00,0,0,0,22.7042914,0,0.011141006,22.67560605,0.01114456,0,0,-0.028685348,0,23.9,18.1759157,0.010992389
 07/02  16:00:00,0,0,0,22.58701875,0,0.011189733,22.57857445,0.011219303,0,0,-0.0084443,0,22.8,18.1023904,0.011356745
 07/02  17:00:00,0,0,0,23.93097846,0,0.011285444,23.68441367,0.011270002,0,0,-0.246564788,0,22.8,18.1023904,0.011356745
 07/02  18:00:00,0,0,0,23.63078982,0,0.011493263,23.60531589,0.011482824,0,0,-0.02547393,0,21.7,18.08336983,0.011790866
 07/02  19:00:00,0,0,0,23.23357261,0,0.010979278,23.27443692,0.011004771,0,0,0.040864311,0,20.6,16.4305904,0.010208848
 07/02  20:00:00,0,0,0,22.50956119,0,0.009653336,22.66774367,0.010019277,0,0,0.158182487,0,18.3,14.26215293,0.008692886
 07/02  21:00:00,0,0,0,21.68054611,0,0.009295405,21.84645307,0.00931763,0,0,0.165906957,0,16.7,14.00354223,0.009062384
 07/02  22:00:00,0,0,0,21.61860195,0,0.009462956,21.66520738,0.009470695,0,0,0.046605433,0,16.1,14.1103713,0.009416153
